2024-04-05 12:35:15,475 - INFO - Loading Traffic dataset.
2024-04-05 12:35:15,476 - INFO - Splitting the dataset in train and valid loader.
2024-04-05 12:35:15,749 - INFO - Starting the training of normal model.
2024-04-05 12:56:19,887 - INFO - Epoch 38/50, Loss: 0.3290
2024-04-05 12:56:24,370 - INFO - Epoch [38/50], Validation Accuracy: 91.97%
2024-04-05 12:56:53,260 - INFO - Epoch 39/50, Loss: 0.3124
2024-04-05 12:56:57,738 - INFO - Epoch [39/50], Validation Accuracy: 89.45%
2024-04-05 12:57:26,445 - INFO - Epoch 40/50, Loss: 0.2927
2024-04-05 12:57:30,912 - INFO - Epoch [40/50], Validation Accuracy: 88.73%
2024-04-05 12:57:59,637 - INFO - Epoch 41/50, Loss: 0.2887
2024-04-05 12:58:04,169 - INFO - Epoch [41/50], Validation Accuracy: 92.69%
2024-04-05 12:58:33,160 - INFO - Epoch 42/50, Loss: 0.2762
2024-04-05 12:58:37,639 - INFO - Epoch [42/50], Validation Accuracy: 91.37%
2024-04-05 12:59:06,360 - INFO - Epoch 43/50, Loss: 0.2750
2024-04-05 12:59:10,835 - INFO - Epoch [43/50], Validation Accuracy: 92.93%
2024-04-05 12:59:39,621 - INFO - Epoch 44/50, Loss: 0.2442
2024-04-05 12:59:44,221 - INFO - Epoch [44/50], Validation Accuracy: 94.48%
2024-04-05 13:00:13,266 - INFO - Epoch 45/50, Loss: 0.2281
2024-04-05 13:00:17,724 - INFO - Epoch [45/50], Validation Accuracy: 95.92%
2024-04-05 13:00:46,455 - INFO - Epoch 46/50, Loss: 0.2276
2024-04-05 13:00:50,925 - INFO - Epoch [46/50], Validation Accuracy: 87.89%
2024-04-05 13:01:19,634 - INFO - Epoch 47/50, Loss: 0.2250
2024-04-05 13:01:24,163 - INFO - Epoch [47/50], Validation Accuracy: 96.16%
2024-04-05 13:01:53,109 - INFO - Epoch 48/50, Loss: 0.2026
2024-04-05 13:01:57,587 - INFO - Epoch [48/50], Validation Accuracy: 95.56%
2024-04-05 13:02:26,414 - INFO - Epoch 49/50, Loss: 0.1815
2024-04-05 13:02:30,896 - INFO - Epoch [49/50], Validation Accuracy: 96.52%
2024-04-05 13:02:59,812 - INFO - Epoch 50/50, Loss: 0.1870
2024-04-05 13:03:04,343 - INFO - Epoch [50/50], Validation Accuracy: 96.52%
2024-04-05 13:03:04,343 - INFO - Finished Training the model.
2024-04-05 13:03:04,524 - INFO - Loading Attacked Dataset.
2024-04-05 13:03:04,525 - INFO - Making train and valid loader.
2024-04-05 13:03:04,525 - INFO - Started AdvDetector training.
2024-04-05 13:03:20,696 - INFO - Epoch 1/100, Loss: 22.9751
2024-04-05 13:03:24,567 - INFO - Epoch [1/100], Validation Accuracy: 52.5062656641604%
2024-04-05 13:03:40,807 - INFO - Epoch 2/100, Loss: 22.9861
2024-04-05 13:03:44,709 - INFO - Epoch [2/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:04:00,984 - INFO - Epoch 3/100, Loss: 22.9597
2024-04-05 13:04:04,856 - INFO - Epoch [3/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:04:21,118 - INFO - Epoch 4/100, Loss: 23.0295
2024-04-05 13:04:24,999 - INFO - Epoch [4/100], Validation Accuracy: 52.88220551378446%
2024-04-05 13:04:41,240 - INFO - Epoch 5/100, Loss: 23.0154
2024-04-05 13:04:45,159 - INFO - Epoch [5/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:05:01,623 - INFO - Epoch 6/100, Loss: 23.0607
2024-04-05 13:05:05,590 - INFO - Epoch [6/100], Validation Accuracy: 52.13032581453634%
2024-04-05 13:05:21,879 - INFO - Epoch 7/100, Loss: 22.9775
2024-04-05 13:05:25,764 - INFO - Epoch [7/100], Validation Accuracy: 52.5062656641604%
2024-04-05 13:05:42,060 - INFO - Epoch 8/100, Loss: 23.0267
2024-04-05 13:05:45,948 - INFO - Epoch [8/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:06:02,137 - INFO - Epoch 9/100, Loss: 22.9658
2024-04-05 13:06:06,094 - INFO - Epoch [9/100], Validation Accuracy: 54.13533834586466%
2024-04-05 13:06:22,297 - INFO - Epoch 10/100, Loss: 23.0142
2024-04-05 13:06:26,214 - INFO - Epoch [10/100], Validation Accuracy: 52.63157894736842%
2024-04-05 13:06:42,389 - INFO - Epoch 11/100, Loss: 23.0230
2024-04-05 13:06:46,269 - INFO - Epoch [11/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:07:02,450 - INFO - Epoch 12/100, Loss: 22.9416
2024-04-05 13:07:06,314 - INFO - Epoch [12/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:07:22,488 - INFO - Epoch 13/100, Loss: 22.9672
2024-04-05 13:07:26,365 - INFO - Epoch [13/100], Validation Accuracy: 52.5062656641604%
2024-04-05 13:07:42,551 - INFO - Epoch 14/100, Loss: 22.9911
2024-04-05 13:07:46,436 - INFO - Epoch [14/100], Validation Accuracy: 53.88471177944862%
2024-04-05 13:08:02,742 - INFO - Epoch 15/100, Loss: 23.0072
2024-04-05 13:08:06,721 - INFO - Epoch [15/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:08:22,998 - INFO - Epoch 16/100, Loss: 23.0140
2024-04-05 13:08:26,882 - INFO - Epoch [16/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:08:43,105 - INFO - Epoch 17/100, Loss: 22.9754
2024-04-05 13:08:46,995 - INFO - Epoch [17/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:09:03,376 - INFO - Epoch 18/100, Loss: 22.9971
2024-04-05 13:09:07,267 - INFO - Epoch [18/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:09:23,524 - INFO - Epoch 19/100, Loss: 23.0132
2024-04-05 13:09:27,396 - INFO - Epoch [19/100], Validation Accuracy: 54.26065162907268%
2024-04-05 13:09:43,680 - INFO - Epoch 20/100, Loss: 22.9888
2024-04-05 13:09:47,674 - INFO - Epoch [20/100], Validation Accuracy: 51.8796992481203%
2024-04-05 13:10:03,877 - INFO - Epoch 21/100, Loss: 22.9632
2024-04-05 13:10:07,744 - INFO - Epoch [21/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:10:24,062 - INFO - Epoch 22/100, Loss: 22.9706
2024-04-05 13:10:27,952 - INFO - Epoch [22/100], Validation Accuracy: 51.62907268170426%
2024-04-05 13:10:44,381 - INFO - Epoch 23/100, Loss: 22.9885
2024-04-05 13:10:48,255 - INFO - Epoch [23/100], Validation Accuracy: 52.75689223057644%
2024-04-05 13:11:04,430 - INFO - Epoch 24/100, Loss: 22.9415
2024-04-05 13:11:08,306 - INFO - Epoch [24/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:11:24,507 - INFO - Epoch 25/100, Loss: 23.0123
2024-04-05 13:11:28,392 - INFO - Epoch [25/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:11:44,879 - INFO - Epoch 26/100, Loss: 22.9755
2024-04-05 13:11:48,844 - INFO - Epoch [26/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:12:05,034 - INFO - Epoch 27/100, Loss: 22.9806
2024-04-05 13:12:08,907 - INFO - Epoch [27/100], Validation Accuracy: 52.63157894736842%
2024-04-05 13:12:25,083 - INFO - Epoch 28/100, Loss: 22.9946
2024-04-05 13:12:28,962 - INFO - Epoch [28/100], Validation Accuracy: 53.7593984962406%
2024-04-05 13:12:45,351 - INFO - Epoch 29/100, Loss: 22.9839
2024-04-05 13:12:49,343 - INFO - Epoch [29/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:13:05,635 - INFO - Epoch 30/100, Loss: 22.9689
2024-04-05 13:13:09,520 - INFO - Epoch [30/100], Validation Accuracy: 53.88471177944862%
2024-04-05 13:13:25,700 - INFO - Epoch 31/100, Loss: 22.9956
2024-04-05 13:13:29,632 - INFO - Epoch [31/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:13:45,886 - INFO - Epoch 32/100, Loss: 22.9894
2024-04-05 13:13:49,869 - INFO - Epoch [32/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:14:06,153 - INFO - Epoch 33/100, Loss: 23.0587
2024-04-05 13:14:10,082 - INFO - Epoch [33/100], Validation Accuracy: 52.00501253132832%
2024-04-05 13:14:26,280 - INFO - Epoch 34/100, Loss: 22.9780
2024-04-05 13:14:30,150 - INFO - Epoch [34/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:14:46,494 - INFO - Epoch 35/100, Loss: 23.0204
2024-04-05 13:14:50,368 - INFO - Epoch [35/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:15:06,576 - INFO - Epoch 36/100, Loss: 22.9784
2024-04-05 13:15:10,463 - INFO - Epoch [36/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:15:26,622 - INFO - Epoch 37/100, Loss: 22.9681
2024-04-05 13:15:30,505 - INFO - Epoch [37/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:15:46,714 - INFO - Epoch 38/100, Loss: 22.9908
2024-04-05 13:15:50,689 - INFO - Epoch [38/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:16:06,933 - INFO - Epoch 39/100, Loss: 22.9946
2024-04-05 13:16:10,814 - INFO - Epoch [39/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:16:27,112 - INFO - Epoch 40/100, Loss: 22.9980
2024-04-05 13:16:30,989 - INFO - Epoch [40/100], Validation Accuracy: 52.13032581453634%
2024-04-05 13:16:47,198 - INFO - Epoch 41/100, Loss: 23.0032
2024-04-05 13:16:51,073 - INFO - Epoch [41/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:17:07,356 - INFO - Epoch 42/100, Loss: 22.9604
2024-04-05 13:17:11,243 - INFO - Epoch [42/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:17:27,612 - INFO - Epoch 43/100, Loss: 22.9997
2024-04-05 13:17:31,518 - INFO - Epoch [43/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:17:47,702 - INFO - Epoch 44/100, Loss: 23.0352
2024-04-05 13:17:51,587 - INFO - Epoch [44/100], Validation Accuracy: 52.75689223057644%
2024-04-05 13:18:07,764 - INFO - Epoch 45/100, Loss: 22.9637
2024-04-05 13:18:11,630 - INFO - Epoch [45/100], Validation Accuracy: 53.7593984962406%
2024-04-05 13:18:27,811 - INFO - Epoch 46/100, Loss: 23.0236
2024-04-05 13:18:31,679 - INFO - Epoch [46/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:18:47,863 - INFO - Epoch 47/100, Loss: 23.0200
2024-04-05 13:18:51,734 - INFO - Epoch [47/100], Validation Accuracy: 53.88471177944862%
2024-04-05 13:19:07,961 - INFO - Epoch 48/100, Loss: 22.9813
2024-04-05 13:19:11,880 - INFO - Epoch [48/100], Validation Accuracy: 53.7593984962406%
2024-04-05 13:19:28,155 - INFO - Epoch 49/100, Loss: 22.9848
2024-04-05 13:19:32,025 - INFO - Epoch [49/100], Validation Accuracy: 53.88471177944862%
2024-04-05 13:19:48,298 - INFO - Epoch 50/100, Loss: 22.9909
2024-04-05 13:19:52,285 - INFO - Epoch [50/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:20:08,734 - INFO - Epoch 51/100, Loss: 22.9765
2024-04-05 13:20:12,612 - INFO - Epoch [51/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:20:28,869 - INFO - Epoch 52/100, Loss: 23.0128
2024-04-05 13:20:32,747 - INFO - Epoch [52/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:20:48,992 - INFO - Epoch 53/100, Loss: 23.0489
2024-04-05 13:20:52,935 - INFO - Epoch [53/100], Validation Accuracy: 52.38095238095238%
2024-04-05 13:21:09,265 - INFO - Epoch 54/100, Loss: 22.9474
2024-04-05 13:21:13,153 - INFO - Epoch [54/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:21:29,424 - INFO - Epoch 55/100, Loss: 22.9883
2024-04-05 13:21:33,290 - INFO - Epoch [55/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:21:49,462 - INFO - Epoch 56/100, Loss: 22.9846
2024-04-05 13:21:53,347 - INFO - Epoch [56/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:22:09,523 - INFO - Epoch 57/100, Loss: 23.0127
2024-04-05 13:22:13,409 - INFO - Epoch [57/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:22:29,655 - INFO - Epoch 58/100, Loss: 22.9867
2024-04-05 13:22:33,537 - INFO - Epoch [58/100], Validation Accuracy: 51.37844611528822%
2024-04-05 13:22:49,732 - INFO - Epoch 59/100, Loss: 22.9785
2024-04-05 13:22:53,607 - INFO - Epoch [59/100], Validation Accuracy: 52.63157894736842%
2024-04-05 13:23:09,885 - INFO - Epoch 60/100, Loss: 22.9962
2024-04-05 13:23:13,777 - INFO - Epoch [60/100], Validation Accuracy: 52.75689223057644%
2024-04-05 13:23:30,019 - INFO - Epoch 61/100, Loss: 23.0001
2024-04-05 13:23:33,971 - INFO - Epoch [61/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:23:50,224 - INFO - Epoch 62/100, Loss: 23.0166
2024-04-05 13:23:54,113 - INFO - Epoch [62/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:24:10,331 - INFO - Epoch 63/100, Loss: 23.0016
2024-04-05 13:24:14,216 - INFO - Epoch [63/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:24:30,538 - INFO - Epoch 64/100, Loss: 22.9957
2024-04-05 13:24:34,500 - INFO - Epoch [64/100], Validation Accuracy: 54.010025062656645%
2024-04-05 13:24:50,863 - INFO - Epoch 65/100, Loss: 23.0696
2024-04-05 13:24:54,744 - INFO - Epoch [65/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:25:11,088 - INFO - Epoch 66/100, Loss: 22.9901
2024-04-05 13:25:14,958 - INFO - Epoch [66/100], Validation Accuracy: 53.634085213032584%
2024-04-05 13:25:31,134 - INFO - Epoch 67/100, Loss: 22.9811
2024-04-05 13:25:35,008 - INFO - Epoch [67/100], Validation Accuracy: 54.3859649122807%
2024-04-05 13:25:51,196 - INFO - Epoch 68/100, Loss: 23.0229
2024-04-05 13:25:55,130 - INFO - Epoch [68/100], Validation Accuracy: 53.38345864661654%
2024-04-05 13:26:11,303 - INFO - Epoch 69/100, Loss: 22.9892
2024-04-05 13:26:15,169 - INFO - Epoch [69/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:26:31,383 - INFO - Epoch 70/100, Loss: 22.9885
2024-04-05 13:26:35,376 - INFO - Epoch [70/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:26:51,705 - INFO - Epoch 71/100, Loss: 23.0146
2024-04-05 13:26:55,584 - INFO - Epoch [71/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:27:11,751 - INFO - Epoch 72/100, Loss: 22.9676
2024-04-05 13:27:15,728 - INFO - Epoch [72/100], Validation Accuracy: 53.38345864661654%
2024-04-05 13:27:31,954 - INFO - Epoch 73/100, Loss: 22.9310
2024-04-05 13:27:35,838 - INFO - Epoch [73/100], Validation Accuracy: 53.1328320802005%
2024-04-05 13:27:52,086 - INFO - Epoch 74/100, Loss: 23.0161
2024-04-05 13:27:55,972 - INFO - Epoch [74/100], Validation Accuracy: 53.00751879699248%
2024-04-05 13:28:12,139 - INFO - Epoch 75/100, Loss: 23.0294
2024-04-05 13:28:16,020 - INFO - Epoch [75/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:28:32,229 - INFO - Epoch 76/100, Loss: 22.9848
2024-04-05 13:28:36,224 - INFO - Epoch [76/100], Validation Accuracy: 52.88220551378446%
2024-04-05 13:28:52,533 - INFO - Epoch 77/100, Loss: 23.0008
2024-04-05 13:28:56,405 - INFO - Epoch [77/100], Validation Accuracy: 52.5062656641604%
2024-04-05 13:29:12,830 - INFO - Epoch 78/100, Loss: 23.0087
2024-04-05 13:29:16,706 - INFO - Epoch [78/100], Validation Accuracy: 53.88471177944862%
2024-04-05 13:29:33,052 - INFO - Epoch 79/100, Loss: 23.0046
2024-04-05 13:29:36,980 - INFO - Epoch [79/100], Validation Accuracy: 51.8796992481203%
2024-04-05 13:29:53,233 - INFO - Epoch 80/100, Loss: 22.9787
2024-04-05 13:29:57,114 - INFO - Epoch [80/100], Validation Accuracy: 53.7593984962406%
2024-04-05 13:30:13,284 - INFO - Epoch 81/100, Loss: 22.9941
2024-04-05 13:30:17,217 - INFO - Epoch [81/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:30:33,501 - INFO - Epoch 82/100, Loss: 23.0083
2024-04-05 13:30:37,376 - INFO - Epoch [82/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:30:53,634 - INFO - Epoch 83/100, Loss: 22.9551
2024-04-05 13:30:57,529 - INFO - Epoch [83/100], Validation Accuracy: 52.63157894736842%
2024-04-05 13:31:13,926 - INFO - Epoch 84/100, Loss: 23.0010
2024-04-05 13:31:17,807 - INFO - Epoch [84/100], Validation Accuracy: 52.5062656641604%
2024-04-05 13:31:33,972 - INFO - Epoch 85/100, Loss: 22.9736
2024-04-05 13:31:37,856 - INFO - Epoch [85/100], Validation Accuracy: 53.7593984962406%
2024-04-05 13:31:54,245 - INFO - Epoch 86/100, Loss: 22.9790
2024-04-05 13:31:58,127 - INFO - Epoch [86/100], Validation Accuracy: 54.26065162907268%
2024-04-05 13:32:14,324 - INFO - Epoch 87/100, Loss: 22.9989
2024-04-05 13:32:18,204 - INFO - Epoch [87/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:32:34,449 - INFO - Epoch 88/100, Loss: 22.9681
2024-04-05 13:32:38,339 - INFO - Epoch [88/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:32:54,673 - INFO - Epoch 89/100, Loss: 22.9409
2024-04-05 13:32:58,634 - INFO - Epoch [89/100], Validation Accuracy: 53.50877192982456%
2024-04-05 13:33:15,010 - INFO - Epoch 90/100, Loss: 23.0183
2024-04-05 13:33:18,935 - INFO - Epoch [90/100], Validation Accuracy: 53.258145363408524%
2024-04-05 13:33:35,284 - INFO - Epoch 91/100, Loss: 22.9744
